run_id,operation,train_fraction,weight_decay,seed,grokking_epoch,censored_at_epoch
add_frac0p25_wd1_seed0,add,0.25,1.0,0,13900,
add_frac0p25_wd1_seed1,add,0.25,1.0,1,11700,
add_frac0p25_wd1_seed2,add,0.25,1.0,2,10200,
add_frac0p3_wd1_seed0,add,0.3,1.0,0,10100,
add_frac0p3_wd1_seed1,add,0.3,1.0,1,11100,
add_frac0p3_wd1_seed2,add,0.3,1.0,2,4500,
add_frac0p4_wd3_seed0,add,0.4,3.0,0,600,
add_frac0p4_wd3_seed1,add,0.4,3.0,1,600,
add_frac0p4_wd3_seed2,add,0.4,3.0,2,400,
mul_frac0p3_wd0p3_seed0,mul,0.3,0.3,0,18900,
mul_frac0p3_wd0p3_seed1,mul,0.3,0.3,1,18800,
mul_frac0p3_wd0p3_seed2,mul,0.3,0.3,2,24900,
mul_frac0p3_wd1_seed0,mul,0.3,1.0,0,6300,
mul_frac0p3_wd1_seed1,mul,0.3,1.0,1,5700,
mul_frac0p3_wd1_seed2,mul,0.3,1.0,2,7300,
mul_frac0p4_wd3_seed0,mul,0.4,3.0,0,500,
mul_frac0p4_wd3_seed1,mul,0.4,3.0,1,300,
mul_frac0p4_wd3_seed2,mul,0.4,3.0,2,500,
sub_frac0p25_wd1_seed0,sub,0.25,1.0,0,29200,
sub_frac0p25_wd1_seed1,sub,0.25,1.0,1,,50000
sub_frac0p25_wd1_seed2,sub,0.25,1.0,2,43700,
sub_frac0p3_wd1_seed0,sub,0.3,1.0,0,12700,
sub_frac0p3_wd1_seed1,sub,0.3,1.0,1,39100,
sub_frac0p3_wd1_seed2,sub,0.3,1.0,2,19800,
sub_frac0p4_wd3_seed0,sub,0.4,3.0,0,1500,
sub_frac0p4_wd3_seed1,sub,0.4,3.0,1,800,
sub_frac0p4_wd3_seed2,sub,0.4,3.0,2,900,
