split,definition,operation,runs_increasing,runs_evaluable,fraction_increasing,mean_change
train,definition_01,add,0,6,0.0,-0.07732645801956702
train,definition_01,sub,8,8,1.0,0.20665335078795155
train,definition_01,mul,0,6,0.0,-0.08768946944854583
train,definition_02,add,0,6,0.0,-0.1903933653050748
train,definition_02,sub,2,8,0.25,-0.02604836077391695
train,definition_02,mul,0,6,0.0,-0.21152866814651827
train,definition_03,add,6,6,1.0,0.16648514851893234
train,definition_03,sub,8,8,1.0,0.2667559548152142
train,definition_03,mul,6,6,1.0,0.08389932786888897
train,definition_04,add,0,6,0.0,-0.790876505636699
train,definition_04,sub,8,8,1.0,3.4103114276607247
train,definition_04,mul,3,6,0.5,-0.4372991179666396
train,definition_05,add,0,6,0.0,-0.3287073863085939
train,definition_05,sub,8,8,1.0,1.1590096820044418
train,definition_05,mul,2,6,0.3333333333333333,-0.24887457599148122
test,definition_01,add,2,6,0.3333333333333333,-0.06113828650835491
test,definition_01,sub,8,8,1.0,0.2403945950888725
test,definition_01,mul,0,6,0.0,-0.10036657921120103
test,definition_02,add,1,6,0.16666666666666666,-0.15785017096886397
test,definition_02,sub,4,8,0.5,0.041760769873942574
test,definition_02,mul,0,6,0.0,-0.22173678858608184
test,definition_03,add,6,6,1.0,0.17548557517977223
test,definition_03,sub,8,8,1.0,0.2877009425534021
test,definition_03,mul,6,6,1.0,0.09708229392979345
test,definition_04,add,2,6,0.3333333333333333,-0.658666844314108
test,definition_04,sub,8,8,1.0,3.6526434280176443
test,definition_04,mul,1,6,0.16666666666666666,-0.7061349357281751
test,definition_05,add,2,6,0.3333333333333333,-0.2725439164315493
test,definition_05,sub,8,8,1.0,1.270923780916831
test,definition_05,mul,1,6,0.16666666666666666,-0.33520054123481674
